org_code,district,district_type,grade_level,county,enrolled,econ_disadvantaged,percent_white,percent_black,percent_hispanic,meets_expectations_ELA,meets_expectations_math,percent_grads_attending_college,avg_SAT_score,percent_graduating_4_yrs,FTE_teachers_per_100_students,avg_teacher_salary,teacher_retention,dollars_per_student,ch_70_aid_per_student
7100000,Mendon-Upton,Regional,K12,Worcester,2302,0.091,0.905,0.005,0.043,0.57,0.53,0.801,1125,0.929,6.93570808,80687.6806,0.909,15324,5693.207356
7120000,Monomoy,Regional,K12,Barnstable,1891,0.253,0.784,0.066,0.072,0.55,0.5,0.784,1134,0.854,9.378106822,75183.7326,0.918,18520,1892.600107
7150000,Mount Greylock,Regional,K12,Berkshire,1196,0.179,0.898,0.012,0.036,0.75,0.64,0.763,1211,0.94,8.684782609,79387.8022,0.84,19306,3288.111111
7170000,Mohawk Trail,Regional,K12,Franklin,904,0.346,0.915,0.004,0.045,0.47,0.39,0.603,1049,0.821,9.610066372,76502.05365,0.817,19880,6567.53159
7200000,Narragansett,Regional,K12,Worcester,1426,0.285,0.891,0.013,0.06,0.41,0.38,0.618,1116,0.861,7.025385694,72941.96923,0.939,12651,7654.628571
7250000,Nashoba,Regional,K12,Worcester,3228,0.078,0.876,0.013,0.048,0.73,0.72,0.819,1190,0.951,8.091109046,80165.39831,0.91,16171,2209.629899
7500000,Pioneer Valley,Regional,K12,Franklin,743,0.217,0.935,0.004,0.019,0.5,0.46,0.726,1075,0.939,8.209152086,62452.12189,0.747,18691,5911.596866
7530000,Quabbin,Regional,K12,Worcester,2118,0.233,0.915,0.008,0.048,0.48,0.46,0.677,1075,0.833,6.544995279,70956.26868,0.845,15121,8005.510618
7650000,Southern Berkshire,Regional,K12,Berkshire,688,0.347,0.862,0.009,0.071,0.49,0.41,0.581,1185,0.857,10.30305233,66600.74005,0.846,24135,3053.96118
7660000,Southwick-Tolland-Granville,Regional,K12,Hampden,1511,0.228,0.906,0.018,0.044,0.45,0.38,0.764,1084,0.937,8.523560556,66809.15229,0.926,14397,6751.830579
7670000,Spencer-E Brookfield,Regional,K12,Worcester,1379,0.351,0.807,0.02,0.133,0.41,0.36,0.542,1068,0.817,8.186439449,65023.04425,0.885,15781,8704.485969
7750000,Wachusett,Regional,K12,Worcester,7103,0.103,0.872,0.022,0.054,0.67,0.64,0.832,1137,0.96,6.499943686,74635.94228,0.929,12280,3981.485842
7780000,Quaboag,Regional,K12,Worcester,1303,0.357,0.885,0.008,0.068,0.44,0.45,0.63,1116,0.885,7.758250192,65396.06526,0.849,13772,7428.526059
7800000,Whitman-Hanson,Regional,K12,Plymouth,3822,0.202,0.883,0.024,0.047,0.52,0.44,0.768,1067,0.936,6.296572475,82499.78552,0.895,12740,6523.528167
7050000,Masconomet,Regional,Secondary,Essex,1785,0.056,0.91,0.004,0.025,0.71,0.72,0.841,1170,0.951,7.353109244,93705.02595,0.934,17420,2787.810943
6050000,Amherst-Pelham,Regional,Secondary,Hampshire,1340,0.246,0.579,0.075,0.167,0.57,0.54,0.795,1201,0.906,8.49261194,84609.53631,0.875,21864,6643.047453
6200000,Berlin-Boylston,Regional,Secondary,Worcester,583,0.122,0.878,0.024,0.034,0.53,0.54,0.797,1152,0.975,8.192795883,58749.70431,0.936,14169,2033.414105
6550000,Dover-Sherborn,Regional,Secondary,Norfolk,1196,0.038,0.801,0.029,0.04,0.82,0.75,0.877,1252,0.982,8.931605351,94330.81681,0.947,20574,1784.784137
6600000,Nauset,Regional,Secondary,Barnstable,1508,0.186,0.843,0.05,0.045,0.61,0.57,0.84,1144,0.896,9.145755968,84749.73665,0.942,20133,3035.886087
6700000,Frontier,Regional,Secondary,Franklin,647,0.178,0.884,0.014,0.042,0.4,0.48,0.889,1124,0.93,8.102009274,41690.62136,0.895,8534,5014.531802
6830000,Hampshire,Regional,Secondary,Hampshire,719,0.147,0.933,0.006,0.028,0.53,0.44,0.738,1164,0.912,10.01835883,69525.67715,0.96,18708,4774.894273
6900000,King Philip,Regional,Secondary,Norfolk,2024,0.088,0.909,0.019,0.03,0.64,0.59,0.859,1131,0.953,6.436264822,75771.33352,0.881,13986,3515.088702
7400000,Old Rochester,Regional,Secondary,Plymouth,1212,0.12,0.906,0.019,0.021,0.66,0.66,0.853,1131,0.946,7.425742574,83436.96318,0.914,15565,2610.714657
7550000,Ralph C Mahar,Regional,Secondary,Franklin,731,0.38,0.826,0.023,0.093,0.4,0.43,0.722,1097,0.83,7.852257182,65555.22727,0.844,15818,8620.748408
7600000,Silver Lake,Regional,Secondary,Plymouth,1755,0.159,0.947,0.015,0.018,0.61,0.63,0.739,1143,0.957,7.96980057,84465.59993,0.93,15532,4482.840747
7700000,Tantasqua,Regional,Secondary,Worcester,1812,0.194,0.902,0.007,0.052,0.41,0.56,0.639,1154,0.976,7.68013245,78955.6032,0.915,14617,5509.832702
