Org_Code,District,District_Type,Grade_Level,Single_School_District,County,Enrolled,Econ_disadv,Students_with_disabilities,English_learners,Five_Yr_change_in_enroll,Ten_Yr_change_in_enroll,Student_mobility,Choice_in_percent_of_enrolled,ELA_meet_exceed_expectations,Math_meet_exceed_expectations,ELA_student_growth_percentile,Math_student_growth_percentile,FTE_tchrs_per_100_students,Av_tchr_salary,Teacher_retention,Funds_per_indistrict_pupil,Foundation_enroll,Above_Below_req_net_school_spending,Combined_effort_yield_as_percent_of_foundation_budget,Ch_70_aid_per_pupil
03170000,Wellesley,Municipal,K12,,Norfolk,"4963",5.6,16.0,2.3,-1.4,1.4,3.3,0.0,79.0,75.0,59.1,54.1,7.9,"95,371",90.3,"19,101","1670",174.76,245,"1781"
03180000,Wellfleet,Municipal,Elementary,Single,Barnstable,105,28.6,17.9,1.0,-16.0,-19.8,12.0,0.0,68.0,74.0,35.5,46.0,12.4,"83,064",72.2,"31,653","1733",303.58,342,"1792"
03210000,Westborough,Municipal,K12,,Worcester,"3925",8.2,14.9,11.5,9.5,10.5,8.9,0.0,75.0,73.0,58.9,59.3,8.3,"79,096",90.6,"14,912","2047",158.01,79,"2121"
03220000,West Boylston,Municipal,K12,,Worcester,890,20.2,16.4,3.7,-5.8,-15.6,7.0,14.5,57.0,57.0,55.9,51.6,9.3,"75,982",84.9,"15,469","3460",132.32,76,"3535"
03230000,West Bridgewater,Municipal,K12,,Plymouth,"1352",15.6,10.4,1.6,2.1,4.9,3.6,18.8,58.0,47.0,48.7,43.2,6.6,"77,724",87.9,"13,239","3482",131.93,65,"3502"
03250000,Westfield,Municipal,K12,,Hampden,"5327",37.7,18.4,5.8,-8.4,-14.1,8.9,2.3,51.0,47.0,53.7,48.0,7.9,"70,377",88.5,"14,057","6270",112.83,43,"6426"
06160000,Ayer Shirley,Regional,K12,,Middlesex,"1712",24.9,19.1,3.7,2.8,--,8.1,7.0,46.0,39.0,46.1,50.1,8.1,"63,017",87.9,"14,261","4629",125.53,63,"4746"
03270000,Westhampton,Municipal,Elementary,Single,Hampshire,121,14.0,21.3,0.8,-18.2,-11.0,4.0,17.4,71.0,72.0,63.9,63.3,11.3,"59,403",86.7,"18,024","3583",156.60,70,"3613"
01440000,Ipswich,Municipal,K12,,Essex,"1708",13.7,17.2,2.5,-14.0,-19.4,4.7,2.8,69.0,63.0,58.2,54.6,9.0,"73,666",89.8,"16,752","1853",144.75,109,"1924"
03310000,Westport,Municipal,K12,,Bristol,"1438",24.1,17.9,0.8,-11.6,-24.7,5.2,0.3,53.0,55.0,44.9,51.9,7.7,"75,012",91.7,"15,219","2998",115.07,111,"3046"
03320000,West Springfield,Municipal,K12,,Hampden,"4113",44.5,18.5,11.2,5.5,3.3,13.6,1.8,48.0,48.0,49.3,47.7,7.9,"65,882",88.7,"13,066","6399",110.38,44,"6836"
03350000,Westwood,Municipal,K12,,Norfolk,"3084",4.8,16.9,0.9,-3.6,0.6,2.1,0.0,75.0,71.0,52.4,53.5,7.9,"96,413",89.5,"18,303","1661",163.94,133,"1772"
03360000,Weymouth,Municipal,K12,,Norfolk,"5857",28.6,19.2,3.8,-14.4,-14.6,10.8,0.0,50.0,42.0,49.4,48.0,7.3,"80,700",88.6,"15,384","4482",105.14,72,"4647"
03370000,Whately,Municipal,Elementary,Single,Franklin,139,25.9,12.2,2.9,-3.5,4.5,9.0,30.9,57.0,51.0,55.7,51.7,9.1,"61,641",100.0,"14,629","3125",202.03,90,"2789"
03400000,Williamsburg,Municipal,Elementary,Single,Hampshire,147,25.9,17.7,2.7,-3.9,-16.5,4.8,11.6,53.0,35.0,58.4,69.5,9.7,"68,119",78.9,"16,205","3123",149.87,74,"3418"
01580000,Littleton,Municipal,K12,,Middlesex,"1653",6.9,17.7,2.1,4.4,0.0,3.2,4.8,68.0,61.0,59.0,52.0,7.6,"77,441",89.5,"13,647","2482",146.08,81,"2492"
03430000,Winchendon,Municipal,K12,,Worcester,"1265",40.9,18.2,0.7,-7.1,-23.4,10.1,3.9,30.0,25.0,35.6,41.0,7.0,"76,086",87.6,"13,599","8309",99.39,32,"8196"
03010000,Tyngsborough,Municipal,K12,,Middlesex,"1640",11.8,16.7,2.7,-10.8,-21.3,4.3,3.6,54.0,51.0,46.4,48.5,7.7,"82,608",91.0,"14,580","4358",120.15,69,"4578"
03460000,Winthrop,Municipal,K12,,Suffolk,"1983",24.3,15.8,7.8,-0.5,-1.6,9.7,0.1,56.0,52.0,51.3,55.0,7.3,"79,450",81.3,"13,010","3308",111.25,70,"3491"
08230000,Greater Lawrence RVT,RegionalVoc,Voc/Ag,,Essex,"1576",49.9,20.0,12.9,17.6,34.7,4.6,0.0,,,,,8.9,"83,133",86.9,"23,316","15127",101.93,24,"16007"
03480000,Worcester,Municipal,K12,,Worcester,"25,415",57.9,19.4,32.8,3.5,10.0,17.1,0.4,35.0,29.0,48.5,49.3,7.3,"80,587",87.2,"14,142","8836",100.75,28,"9171"
03490000,Worthington,Municipal,Elementary,Single,Hampshire,74,39.2,20.3,0.0,--,--,13.4,24.3,41.0,29.0,,,9.5,"54,672",88.9,"17,318","2205",144.51,94,"2276"
03500000,Wrentham,Municipal,Elementary,,Norfolk,"1009",9.9,16.5,2.3,-12.2,-23.0,5.8,0.0,73.0,64.0,57.8,47.0,7.7,"77,646",94.8,"15,668","4049",123.41,86,"3989"
04060000,Northampton-Smith Voc/Agr,Independent,Secondary,,Hampshire,495,32.9,39.0,1.6,--,--,4.9,0.0,,,,,11.5,"64,081",87.5,"22,468","8554",101.81,86,"8666"
04070000,Dudley Street,CharterC,Elementary,Single,,256,59.0,9.4,25.4,--,--,18.9,0.0,32.0,23.0,40.6,48.5,8.6,,84.2,0,,,0,--
04090000,Alma del Mar Charter,CharterC,Elementary,Single,,441,61.9,18.8,24.3,--,--,6.0,0.0,50.0,54.0,47.2,48.5,8.3,,62.9,0,,,0,--
04100000,Excel Academy,CharterC,,Single,,"1297",42.4,19.7,12.0,--,--,6.5,0.0,55.0,47.0,56.7,51.5,7.8,,63.4,0,,,0,--
04110000,Boston Green Academy HMCS,CharterHM,,Single,,476,60.9,30.5,15.5,--,--,21.8,0.0,25.0,9.0,48.8,45.5,8.7,,76.6,0,,,0,--
04120000,Academy Of the Pacific Rim,CharterC,,Single,,526,38.2,23.8,11.8,--,--,8.9,0.0,44.0,33.0,57.7,52.9,9.4,,62.3,0,,,0,--
04130000,Four Rivers,CharterC,,Single,,219,24.2,13.2,0.0,--,--,4.0,0.0,51.0,57.0,45.0,58.4,10.0,,87.1,0,,,0,--
04140000,Berkshire Arts and Technology,CharterC,,Single,,378,41.3,23.0,0.8,--,--,10.6,0.0,48.0,48.0,58.4,59.4,9.5,,72.5,0,,,0,--
04160000,Boston Preparatory,CharterC,,Single,,526,44.3,20.5,22.4,--,--,9.3,0.0,38.0,41.0,56.9,60.6,9.9,,59.6,0,,,0,--
04170000,Bridge Boston,CharterC,Elementary,Single,,339,59.3,22.1,26.5,--,--,4.4,0.0,39.0,30.0,50.0,35.9,10.2,,64.5,0,,,0,--
04180000,Christa McAuliffe,CharterC,,Single,,398,21.1,23.1,3.0,--,--,5.4,0.0,53.0,51.0,48.3,53.2,10.0,,64.3,0,,,0,--
04190000,Helen Y. Davis Leadership Academy,CharterC,,Single,,191,62.8,26.2,8.9,--,--,22.8,0.0,18.0,15.0,31.0,39.5,8.4,,42.9,0,,,0,--
04200000,Benjamin Banneker,CharterC,Elementary,Single,,354,45.5,15.0,5.4,--,--,6.6,0.0,68.0,65.0,60.1,55.7,5.0,,78.9,0,,,0,--
04240000,Boston Day and Evening Academy,CharterHM,,Single,,421,60.6,27.3,12.6,--,--,49.3,0.0,,,,,6.2,,82.6,0,,,0,--
04260000,Community Day Gateway,CharterC,Elementary,Single,,360,50.3,10.3,24.2,--,--,2.5,0.0,78.0,74.0,62.4,59.1,11.1,,68.6,0,,,0,--
04270000,Barnstable Community HMCS,CharterHM,Elementary,Single,,290,41.7,9.3,25.2,--,--,2.6,0.0,64.0,67.0,,,8.3,,92.3,0,,,0,--
04280000,Brooke Charter,CharterC,,Single,,"1853",45.7,10.3,6.9,--,--,5.3,0.0,63.0,71.0,52.6,58.2,8.5,,72.3,0,,,0,--
04290000,KIPP Academy Lynn,CharterC,,Single,,"1456",49.2,12.8,19.0,--,--,7.6,0.0,41.0,44.0,46.0,54.3,6.9,,61.7,0,,,0,--
